year,month,CASE_COUNT,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2022,4,2593,223,765,935,503,167
2022,4,2428,206,712,889,495,121
2022,4,2608,201,732,907,576,191
2022,4,2305,192,638,802,551,122
2022,4,2004,137,592,672,478,123
2022,4,1204,116,350,322,329,87
2022,4,966,80,289,302,234,61
2022,4,2349,186,663,765,565,167
2022,4,2298,180,673,733,596,114
2022,4,2168,193,581,683,583,125
2022,4,1998,177,614,551,495,157
2022,4,1817,171,512,464,518,151
2022,4,1410,116,462,337,405,90
2022,4,1462,112,422,349,428,151
2022,4,2919,293,928,761,768,168
2022,4,2944,260,828,901,757,197
2022,4,2790,298,831,758,759,141
2022,4,2668,246,806,692,764,159
2022,4,2787,230,829,816,763,148
2022,4,1618,137,497,382,491,111
2022,5,1876,131,564,591,479,111
2022,5,3892,295,1191,1193,1000,210
2022,5,3776,330,1126,1017,1064,236
2022,5,3720,327,1116,962,1046,264
2022,5,3572,377,1079,799,1085,231
2022,5,3082,278,876,706,981,239
2022,5,1854,161,523,441,567,161
2022,5,1974,150,634,458,538,192
2022,5,4352,472,1265,1008,1296,304
2022,5,4044,376,1333,910,1148,273
2022,5,4083,433,1257,955,1143,294
2022,5,3994,440,1210,860,1170,312
2022,5,3530,409,1078,713,1060,266
2022,5,2434,238,733,508,740,214
2022,5,2237,208,748,451,635,195
2022,5,4507,558,1401,976,1248,318
2022,5,4155,478,1205,967,1155,337
2022,5,4259,551,1253,931,1177,344
2022,5,3751,490,1143,789,1045,279
2022,5,3437,432,1028,761,972,244
2022,5,2453,287,663,576,730,195
2022,5,2333,214,721,598,612,188
2022,5,4703,557,1405,1094,1276,363
2022,5,3957,521,1175,959,1019,277
2022,5,3885,453,1199,885,1085,262
2022,5,3307,431,997,726,915,235
2022,5,2959,370,879,692,836,178
2022,5,2006,193,566,483,590,174
2022,5,1788,182,599,404,483,119
2022,5,1724,210,519,425,467,102
2022,5,4283,513,1313,1002,1155,296
2022,6,3607,502,1116,802,950,231
2022,6,3198,381,1010,753,845,206
2022,6,2802,350,804,654,823,169
2022,6,1774,193,532,402,507,140
2022,6,1668,172,475,395,510,115
2022,6,3324,427,984,711,988,213
2022,6,2911,380,900,602,852,175
2022,6,2923,337,917,626,842,197
2022,6,2537,315,788,566,704,160
2022,6,2416,319,721,480,738,157
2022,6,1460,197,412,254,494,103
2022,6,1512,154,425,341,454,137
2022,6,3125,455,931,654,879,203
2022,6,2866,336,878,638,814,198
2022,6,2833,381,904,595,771,178
2022,6,2468,325,725,566,677,174
2022,6,2443,335,701,517,745,142
2022,6,1804,244,526,389,528,117
2022,6,1576,161,440,367,507,101
2022,6,2443,322,683,542,735,160
2022,6,3664,485,1092,849,1007,228
2022,6,3295,480,896,733,985,199
2022,6,2946,381,851,690,847,177
2022,6,2816,389,813,605,833,176
2022,6,2066,267,604,462,599,133
2022,6,2060,226,626,418,653,137
2022,6,3797,505,1123,832,1072,263
2022,6,3631,508,1155,783,988,194
2022,6,3602,497,1027,830,1034,214
2022,6,3149,506,879,710,876,176
2022,7,3113,467,878,681,887,198
2022,7,2216,317,572,488,677,161
2022,7,2214,296,634,492,632,159
2022,7,1735,272,427,432,493,109
2022,7,5227,789,1501,1083,1522,332
2022,7,4354,645,1228,960,1235,284
2022,7,4229,616,1248,903,1206,255
2022,7,3815,531,1129,779,1127,244
2022,7,2550,393,759,471,743,184
2022,7,2454,269,725,522,749,187
2022,7,4982,745,1409,1040,1463,321
2022,7,4243,697,1253,849,1200,243
2022,7,3974,627,1181,815,1138,209
2022,7,3902,608,1188,759,1114,228
2022,7,3742,568,1163,729,1083,196
2022,7,2355,360,631,443,744,176
2022,7,2387,307,684,524,703,169
2022,7,4356,626,1258,851,1339,278
2022,7,4076,649,1166,822,1209,226
2022,7,3830,643,1123,760,1069,232
2022,7,3433,536,1004,698,988,205
2022,7,3211,489,955,623,915,228
2022,7,2177,324,602,409,688,154
2022,7,2028,295,597,397,597,140
2022,7,4285,713,1179,875,1263,254
2022,7,3881,667,1083,757,1130,243
2022,7,3654,578,1074,746,1029,225
2022,7,3215,572,933,628,884,197
2022,7,2905,500,829,541,856,178
2022,7,1818,311,494,310,587,116
2022,7,1936,301,568,333,592,140
2022,8,3852,645,1106,727,1155,217
2022,8,3538,570,1032,725,996,213
2022,8,3199,569,843,654,933,199
2022,8,2958,469,846,584,868,191
2022,8,2727,436,781,521,801,188
2022,8,1677,301,429,320,517,110
2022,8,1614,250,444,284,507,129
2022,8,3362,599,974,638,920,231
2022,8,2727,531,746,503,771,175
2022,8,2551,406,799,452,714,180
2022,8,2316,434,606,420,700,156
2022,8,2018,363,608,382,560,104
2022,8,1296,187,357,253,404,95
2022,8,1329,196,384,238,423,87
2022,8,2673,430,779,504,780,180
2022,8,2372,370,664,484,687,167
2022,8,2206,349,642,414,658,141
2022,8,2107,330,610,397,647,123
2022,8,1928,313,529,411,551,123
2022,8,1260,200,338,230,401,91
2022,8,1265,182,371,211,397,104
2022,8,2283,383,667,432,664,136
2022,8,2041,351,554,440,569,127
2022,8,1911,308,569,371,536,126
2022,8,1842,345,521,341,530,102
2022,8,1690,263,473,352,493,107
2022,8,1112,190,291,219,339,73
2022,8,1114,164,326,241,318,65
2022,8,2183,359,648,428,589,159
2022,8,1855,288,532,347,575,113
2022,8,1835,293,532,335,556,118
2022,9,1660,264,471,325,502,97
2022,9,1475,238,463,279,409,86
2022,9,919,145,215,183,288,88
2022,9,960,125,273,194,278,90
2022,9,987,155,290,196,276,70
2022,9,2041,305,598,397,591,150
2022,9,1795,271,532,386,497,108
2022,9,1633,228,508,325,511,61
2022,9,1509,225,461,339,408,76
2022,9,1023,153,262,208,320,80
2022,9,944,120,296,178,290,60
2022,9,2065,314,628,448,563,112
2022,9,1722,260,496,380,473,113
2022,9,1822,315,477,404,516,108
2022,9,1652,280,424,360,453,135
2022,9,1595,293,443,321,436,100
2022,9,1078,185,298,209,308,78
2022,9,1150,164,359,239,316,72
2022,9,2413,406,693,493,656,165
2022,9,2211,376,672,410,613,140
2022,9,2017,347,576,429,530,135
2022,9,1625,258,451,321,477,118
2022,9,1490,264,401,309,418,98
2022,9,968,127,281,195,272,93
2022,9,1039,124,298,221,301,95
2022,9,1969,288,524,439,556,162
2022,9,1854,257,511,396,512,178
2022,9,1999,326,560,414,541,158
2022,9,1770,231,544,356,473,166
2022,9,1495,234,405,307,389,160
2022,10,821,99,205,167,239,111
2022,10,788,106,203,162,218,99
